Date	Open	High	Low	Close	Adj Close	Volume
3/15/2021	68.970001	73.330002	67.099998	67.75	67.75	23326900
3/16/2021	70.040001	70.360001	66.011002	67.139999	67.139999	14914700
3/17/2021	65.75	70.779999	65.190002	70.650002	70.650002	12744000
3/18/2021	69.300003	71.809998	67.099998	67.610001	67.610001	15131900
3/19/2021	68.042	72.830002	67.919998	71.980003	71.980003	23685500
3/22/2021	73.190002	74.379997	69.650002	71.720001	71.720001	20582900
3/23/2021	71.589996	73.150002	69.089996	69.75	69.75	12610400
3/24/2021	70.07	70.639999	66.223999	66.629997	66.629997	13423100
3/25/2021	63.775002	66.349998	62.52	65.860001	65.860001	18336900
3/26/2021	66.029999	66.800003	60.77	63.599998	63.599998	16229300
3/29/2021	63.75	64.720001	58.099998	58.200001	58.200001	22224100
3/30/2021	59.205002	61.5	57.900002	61	61	15084700
3/31/2021	61.860001	62.439999	60.632	61.330002	61.330002	10469700
4/1/2021	62	63.279999	61.34	62.880001	62.880001	10294900
4/5/2021	64.019997	64.150002	62.273998	62.630001	62.630001	10105700
4/6/2021	62.220001	64.550003	62.105	63.799999	63.799999	10550400
4/7/2021	64.349998	64.599998	61.830002	62.09	62.09	11754500
4/8/2021	62.299999	63.080002	60.41	61.110001	61.110001	10833100
4/9/2021	60.880001	63.59	60.810001	62.310001	62.310001	12385300
4/12/2021	61.355	61.886002	57.139999	58.029999	58.029999	23952600
4/13/2021	58.23	59.490002	56.82	59.240002	59.240002	13399400
4/14/2021	59.900002	60.828999	58.799999	58.880001	58.880001	10299500
4/15/2021	59.665001	59.665001	56.759998	57.48	57.48	11994300
4/16/2021	59.514999	59.979	57.830002	57.98	57.98	15139000
4/19/2021	57.02	58.77	55.639999	56.68	56.68	15947400
4/20/2021	56	57.049999	53.759998	55.709999	55.709999	11987700
4/21/2021	55.490002	58.830002	54.889999	58.779999	58.779999	12019600
4/22/2021	59.27	59.668999	56.509998	57.169998	57.169998	12904200
4/23/2021	57.25	58.450001	57.240002	58.119999	58.119999	10252500
4/26/2021	58.150002	59.459	57.560001	59.23	59.23	8011200
4/27/2021	60.84	62.27	58.880001	59.130001	59.130001	13300100
