Date,Open,High,Low,Close,Adj Close,Volume
2021-03-11,69.519997,72.010002,68.230003,71.610001,71.610001,17001300
2021-03-12,69.434998,74.089996,69.080002,71.750000,71.750000,18558000
2021-03-15,68.970001,73.330002,67.099998,67.750000,67.750000,23326900
2021-03-16,70.040001,70.360001,66.011002,67.139999,67.139999,14914700
2021-03-17,65.750000,70.779999,65.190002,70.650002,70.650002,12744000
2021-03-18,69.300003,71.809998,67.099998,67.610001,67.610001,15131900
2021-03-19,68.042000,72.830002,67.919998,71.980003,71.980003,23685500
2021-03-22,73.190002,74.379997,69.650002,71.720001,71.720001,20582900
2021-03-23,71.589996,73.150002,69.089996,69.750000,69.750000,12610400
2021-03-24,70.070000,70.639999,66.223999,66.629997,66.629997,13423100
2021-03-25,63.775002,66.349998,62.520000,65.860001,65.860001,18336900
2021-03-26,66.029999,66.800003,60.770000,63.599998,63.599998,16229300
2021-03-29,63.750000,64.720001,58.099998,58.200001,58.200001,22224100
2021-03-30,59.205002,61.500000,57.900002,61.000000,61.000000,15084700
2021-03-31,61.860001,62.439999,60.632000,61.330002,61.330002,10469700
2021-04-01,62.000000,63.279999,61.340000,62.880001,62.880001,10294900
2021-04-05,64.019997,64.150002,62.273998,62.630001,62.630001,10105700
2021-04-06,62.220001,64.550003,62.105000,63.799999,63.799999,10550400
2021-04-07,64.349998,64.599998,61.830002,62.090000,62.090000,11754500
2021-04-08,62.299999,63.080002,60.410000,61.110001,61.110001,10833100
2021-04-09,60.880001,63.590000,60.810001,62.310001,62.310001,12385300
2021-04-12,61.355000,61.886002,57.139999,58.029999,58.029999,23952600
2021-04-13,58.230000,59.490002,56.820000,59.240002,59.240002,13399400
2021-04-14,59.900002,60.828999,58.799999,58.880001,58.880001,10299500
2021-04-15,59.665001,59.665001,56.759998,57.480000,57.480000,11994300
2021-04-16,59.514999,59.979000,57.830002,57.980000,57.980000,15139000
2021-04-19,57.020000,58.770000,55.639999,56.680000,56.680000,15947400
2021-04-20,56.000000,57.049999,53.759998,55.709999,55.709999,11987700
2021-04-21,55.490002,58.830002,54.889999,58.779999,58.779999,12019600
2021-04-22,59.270000,59.668999,56.509998,57.169998,57.169998,12904200
2021-04-23,57.250000,58.450001,57.240002,58.119999,58.119999,10252500
2021-04-26,58.150002,59.459000,57.560001,59.230000,59.230000,8011200
2021-04-27,60.840000,62.270000,58.880001,59.130001,59.130001,13300100
